cpu_usage,memory_usage,disk_io,network_activity,label
59,60,65,38,0
54,74,39,32,0
58,63,41,46,0
68,55,37,51,0
47,55,47,49,1
42,58,54,45,0
41,57,59,40,0
41,52,49,56,1
49,51,46,36,0
53,49,51,57,0
52,42,41,39,0
58,47,70,42,0
50,33,33,35,0
64,49,51,44,0
47,40,70,59,0
77,38,50,55,1
56,51,48,59,0
41,63,46,55,0
39,59,48,38,0
54,34,63,46,0
47,40,27,42,0
57,59,65,63,0
54,40,35,38,0
49,47,47,58,0
41,55,45,58,0
34,40,55,68,0
45,51,34,45,0
58,36,54,57,0
52,43,70,72,1
37,53,36,43,0
51,34,51,34,0
53,54,43,31,0
41,49,54,57,0
51,55,50,31,0
50,52,43,46,0
38,63,54,54,0
53,51,68,51,0
55,45,48,54,0
60,51,57,52,0
60,55,37,62,0
36,50,40,40,0
40,50,54,43,0
55,42,64,42,1
55,43,53,58,0
55,35,46,59,1
88,67,49,54,0
55,37,37,61,0
61,43,56,38,0
59,42,58,66,0
56,58,45,65,0
46,47,45,57,1
57,62,52,67,0
42,43,45,33,0
47,52,49,44,0
45,41,70,42,0
50,71,47,57,0
73,38,46,39,0
31,53,43,57,0
56,56,57,63,0
33,54,48,56,0
45,48,43,52,0
60,48,63,40,0
50,50,64,41,0
39,48,43,62,0
42,59,31,57,0
56,72,60,49,0
42,44,43,45,0
52,36,57,29,0
50,49,30,39,0
43,75,58,69,0
71,41,37,37,0
56,66,57,51,0
29,66,50,60,0
51,44,40,37,0
43,55,45,51,0
58,66,56,59,0
42,46,51,50,1
48,47,55,78,1
55,44,69,33,0
58,39,34,60,0
37,43,66,48,0
46,37,51,57,1
45,50,41,54,0
43,42,36,42,0
67,52,48,52,0
54,34,59,31,0
37,53,48,56,0
59,58,65,52,1
71,30,35,56,0
60,53,49,60,0
34,62,37,53,0
45,37,53,51,0
62,66,58,41,0
42,54,45,42,0
54,42,23,61,0
57,49,51,64,0
40,55,54,47,0
49,50,54,50,0
17,55,62,40,1
39,40,39,61,1
47,51,56,56,0
37,35,61,69,0
66,48,32,41,1
35,40,53,46,0
45,42,44,52,0
51,62,49,56,1
64,60,53,47,0
35,56,45,41,0
61,39,43,58,1
50,46,50,57,0
40,62,39,40,0
54,51,39,63,0
51,73,56,61,0
43,53,38,51,0
50,51,56,50,0
46,46,54,55,1
51,51,32,41,0
56,48,43,50,0
65,57,61,28,0
37,59,40,58,0
71,42,45,34,0
30,36,54,65,1
48,31,57,46,0
55,55,47,47,0
52,38,44,43,0
43,28,64,47,0
47,53,67,64,0
45,74,59,25,0
44,49,50,62,0
58,58,41,53,1
53,50,41,37,0
43,49,55,39,0
58,59,54,66,0
53,47,64,40,0
58,52,56,38,0
56,53,34,61,0
41,43,60,53,0
44,59,40,40,0
57,48,46,52,0
56,42,52,39,0
49,55,69,61,0
51,41,81,60,0
62,50,56,55,0
44,49,48,53,0
55,60,55,67,0
47,54,58,49,0
47,49,46,38,0
60,58,67,54,0
58,63,52,70,0
58,55,54,39,0
63,50,56,46,0
50,36,54,54,1
56,39,58,49,0
46,46,43,40,0
53,43,44,61,0
48,48,38,73,0
50,50,54,51,0
55,55,57,40,0
41,49,54,34,0
70,54,66,52,0
39,50,49,61,0
37,30,56,54,0
61,40,39,49,0
57,48,46,44,0
56,37,56,39,0
56,55,58,58,1
49,65,47,59,1
41,62,49,34,0
50,47,34,65,0
43,64,46,55,0
59,51,58,63,1
48,46,55,36,0
41,43,55,36,0
46,46,50,48,0
54,46,50,55,0
44,51,43,67,0
41,51,56,57,0
52,50,54,47,0
52,54,54,39,0
44,61,44,62,0
45,59,28,40,0
52,35,60,66,0
35,24,45,47,0
35,59,41,65,0
42,36,56,56,0
47,47,46,48,0
53,38,60,44,1
64,31,56,46,0
58,55,56,54,0
48,57,36,50,0
49,44,62,44,1
39,24,52,48,0
49,44,46,50,0
47,53,51,28,0
53,35,32,54,0
41,51,54,40,0
55,49,39,38,0
65,55,36,33,0
48,51,34,32,0
54,40,61,36,0
56,61,43,42,0
45,48,65,69,0
52,49,44,44,0
50,40,32,51,0
50,45,38,54,0
42,41,62,51,0
50,48,48,49,0
54,67,44,38,1
64,36,51,64,0
59,33,55,68,0
71,64,61,33,0
42,47,64,39,0
58,43,46,47,0
51,60,36,40,0
71,43,45,55,0
41,68,52,42,0
41,56,40,71,0
44,45,40,61,0
28,71,53,52,0
44,43,49,60,0
42,57,50,61,0
51,52,42,44,0
53,63,47,41,1
68,65,40,50,1
59,50,58,58,0
44,42,60,51,0
41,54,31,34,0
54,43,40,41,0
36,70,35,49,0
68,51,43,49,0
61,46,49,69,0
45,51,35,36,0
32,36,40,55,0
63,40,39,64,0
48,62,52,72,0
62,43,50,45,0
34,39,42,54,0
44,55,51,55,0
50,61,44,51,0
50,57,47,49,0
45,59,66,54,0
56,42,63,24,0
39,35,37,56,0
48,65,58,51,0
51,46,58,47,0
55,47,38,70,0
57,63,58,43,0
38,55,65,45,0
34,54,38,69,0
62,71,40,41,1
53,43,60,44,0
42,59,52,48,0
65,50,55,58,0
51,52,53,52,1
61,65,53,37,0
50,55,36,44,0
70,55,60,43,0
67,60,61,49,0
47,46,47,54,0
59,41,49,54,0
56,39,34,32,0
63,30,55,60,0
40,70,55,52,0
56,38,49,63,0
60,47,61,54,0
32,47,46,61,0
38,53,55,54,0
29,58,39,63,0
47,58,49,55,0
57,44,48,49,0
65,48,52,72,0
50,52,46,58,0
66,47,48,55,0
36,66,58,37,0
32,54,45,37,0
49,57,33,52,1
53,56,67,51,0
49,61,63,43,0
29,51,37,51,0
49,37,56,65,0
36,53,44,56,0
56,43,52,38,0
53,44,52,48,0
40,55,47,41,0
44,62,42,46,0
39,50,43,45,0
49,53,40,45,0
59,67,41,37,0
40,52,49,48,0
55,76,42,44,0
44,55,56,20,0
42,32,64,70,0
48,57,44,60,0
39,53,52,46,0
44,62,54,50,0
38,56,54,38,0
69,48,50,66,0
50,37,57,68,0
43,47,54,51,0
52,41,37,60,0
48,44,58,51,0
47,55,58,36,0
56,66,42,45,0
57,53,50,51,0
44,38,56,45,0
44,54,47,47,0
47,61,60,49,0
26,43,73,49,0
34,48,42,50,0
63,50,36,39,0
66,42,53,42,0
47,56,57,37,0
55,48,47,59,0
53,54,64,28,0
80,41,36,61,0
61,45,56,63,0
48,57,43,46,1
40,46,67,23,0
33,67,69,46,0
52,46,42,49,0
42,52,44,39,0
35,59,58,44,0
43,35,46,65,0
39,32,49,56,0
66,34,50,40,0
58,62,30,34,1
49,44,49,46,0
64,75,43,47,0
50,44,45,54,1
41,51,64,44,0
65,65,37,55,0
55,70,58,69,0
39,70,47,58,0
48,62,47,49,1
41,60,57,48,1
36,55,53,46,0
59,57,55,61,0
69,44,59,43,0
36,41,46,50,0
55,49,43,50,0
43,48,39,44,0
45,45,41,36,1
44,56,79,53,1
41,59,62,49,0
50,50,36,55,0
41,64,36,44,0
52,38,54,62,0
49,48,55,41,0
47,42,55,67,0
40,31,47,32,0
44,49,48,54,0
57,48,53,54,0
55,65,50,42,1
40,56,27,54,0
50,39,47,62,0
57,68,41,27,0
33,62,51,55,0
55,55,79,25,1
43,47,53,40,0
55,40,46,66,0
42,46,59,44,0
31,60,54,38,0
33,68,54,48,0
50,65,56,70,0
52,45,70,31,0
40,38,38,39,0
56,51,54,64,0
33,32,40,68,0
49,53,55,48,0
37,48,40,37,0
43,45,45,70,0
50,34,47,65,0
41,55,59,56,0
46,44,59,41,0
60,38,37,49,0
44,21,50,48,0
58,49,42,53,0
38,67,37,64,0
55,66,47,58,0
64,45,46,39,0
25,43,74,63,0
42,54,54,53,0
55,40,36,56,0
47,53,44,64,0
53,57,60,38,0
43,62,70,49,1
50,48,34,44,0
48,47,31,34,0
61,41,68,53,0
52,41,53,75,0
53,47,41,31,0
45,53,55,49,0
45,59,23,56,0
45,41,50,51,0
53,64,53,48,0
45,47,59,37,0
52,49,39,52,0
70,42,50,42,0
58,25,40,28,0
46,58,52,61,0
62,57,41,59,0
45,47,45,50,0
29,50,40,52,0
39,55,56,60,0
31,34,58,52,0
46,44,47,59,0
50,57,50,47,0
66,37,35,63,0
53,52,47,53,0
47,36,49,51,0
58,54,76,37,0
27,49,38,52,0
52,33,64,41,0
57,61,59,43,0
35,42,52,41,0
61,41,67,39,0
53,52,53,71,0
45,61,53,63,0
56,39,49,69,0
72,50,62,37,0
51,54,60,50,0
52,56,43,37,0
45,51,36,43,1
41,46,47,40,0
58,41,41,62,0
41,50,49,46,0
50,39,62,60,0
45,20,45,56,0
54,54,49,73,0
53,59,50,35,0
60,26,58,62,0
44,39,27,61,0
47,56,43,40,0
40,70,52,60,0
45,50,62,53,0
53,42,45,47,0
57,48,31,41,0
40,63,56,42,0
58,43,43,70,1
63,42,38,50,0
54,45,43,57,0
68,40,48,42,0
42,51,43,42,0
37,66,27,60,0
32,53,58,36,0
64,47,62,45,0
56,47,56,50,1
49,34,38,51,0
52,58,47,48,0
38,49,49,53,0
74,48,55,56,0
51,81,56,57,1
51,52,42,40,0
57,42,50,47,0
54,45,54,61,0
52,61,64,58,0
42,51,57,36,0
54,35,57,53,0
68,59,50,30,0
63,43,64,50,0
65,68,54,68,0
44,60,41,40,0
40,45,64,41,1
48,62,56,57,0
50,50,45,34,0
60,58,45,43,0
33,54,52,55,0
65,41,54,43,0
48,43,51,47,1
45,60,53,57,0
39,46,66,54,0
33,45,60,52,0
58,40,51,46,0
50,54,59,53,1
37,70,39,48,0
37,39,53,54,1
46,50,68,45,0
66,64,47,48,1
47,49,41,40,0
34,54,43,49,0
47,39,39,41,0
47,54,42,38,0
23,48,46,52,0
49,59,35,52,0
47,61,50,57,0
56,75,59,45,0
68,55,40,54,0
61,53,65,55,0
47,51,55,54,0
38,46,60,41,0
75,53,43,51,0
50,47,58,53,0
50,51,39,50,0
49,63,58,29,1
51,39,51,51,0
48,61,55,72,0
44,63,38,46,0
44,48,41,42,0
49,28,55,53,0
44,43,40,53,0
42,62,54,61,0
51,49,36,37,0
47,40,58,57,0
65,44,37,55,0
23,58,55,48,0
60,55,56,53,0
62,47,43,60,0
29,46,55,58,1
46,46,52,38,0
46,40,44,58,0
35,66,39,49,0
42,46,30,50,1
38,62,53,50,1
67,65,34,48,0
59,59,50,61,0
62,45,47,49,0
57,54,56,38,0
38,49,46,46,0
44,40,46,51,1
54,53,57,62,0
37,38,53,56,0
57,61,53,41,0
47,45,54,74,0
46,52,34,52,0
57,52,57,62,0
54,47,56,48,1
46,55,39,55,1
61,45,47,58,0
39,58,49,62,0
56,36,48,60,0
55,51,53,58,0
46,69,64,46,0
53,39,60,44,0
37,43,36,53,1
59,55,56,59,0
48,51,63,47,0
44,53,53,60,0
60,54,60,64,0
42,56,70,40,0
35,61,60,41,0
34,54,52,48,0
56,47,60,53,0
37,56,51,44,0
67,68,50,63,0
29,48,46,54,0
66,40,65,50,0
52,61,41,35,0
49,48,65,36,0
44,28,54,52,0
53,58,36,28,1
49,44,53,60,0
61,49,28,48,0
51,53,56,82,1
51,51,58,73,0
46,57,44,48,0
49,45,51,48,0
53,55,69,59,1
32,47,44,67,1
36,57,39,33,0
57,56,64,32,0
51,40,69,43,0
48,60,50,55,1
50,44,60,54,1
53,58,63,60,0
44,53,42,38,0
42,68,45,26,0
51,47,62,58,0
40,46,66,41,0
54,49,55,29,0
32,46,41,51,0
60,57,69,57,0
54,33,44,48,1
52,39,46,45,0
59,39,53,48,0
66,59,65,46,0
60,67,58,36,1
31,48,54,42,0
37,48,54,55,0
43,50,50,53,0
50,61,55,51,0
55,40,24,40,0
42,52,47,48,0
51,59,52,28,1
42,55,38,51,0
43,51,53,64,0
35,60,47,35,0
40,22,67,44,0
36,56,65,53,0
40,43,45,62,0
60,31,48,45,0
40,55,49,43,0
76,63,45,30,0
54,48,51,51,0
51,59,42,70,0
41,66,38,52,1
57,63,56,49,0
44,66,56,53,0
51,57,41,49,0
75,50,58,41,0
49,33,43,58,0
61,47,52,52,0
42,41,58,50,0
49,71,49,40,0
67,48,54,63,0
43,51,44,56,0
68,55,48,44,0
57,50,47,60,0
44,66,42,45,0
56,43,48,42,0
59,51,34,42,0
56,42,45,32,0
34,36,47,54,0
42,43,47,31,0
47,49,47,37,0
49,45,49,29,0
56,43,54,49,1
51,35,58,48,0
36,49,43,46,0
53,34,37,39,0
56,57,39,38,0
55,50,45,54,0
60,35,46,44,0
58,46,42,53,0
54,42,37,41,0
49,53,45,51,0
33,63,51,63,0
54,31,55,55,0
52,51,44,45,0
52,48,45,52,0
37,56,40,47,0
39,52,49,50,0
60,42,41,46,0
49,46,55,48,0
56,42,32,52,0
50,60,46,40,0
50,50,53,39,0
59,69,51,36,0
44,49,76,33,0
50,42,53,37,0
45,34,39,51,0
45,31,49,41,0
46,34,32,55,0
52,52,49,50,0
45,55,41,30,0
62,34,59,56,0
41,58,44,58,0
48,45,48,40,0
45,51,43,54,1
64,66,67,41,0
51,58,46,50,0
60,47,68,37,0
35,41,58,32,1
52,28,54,46,0
58,42,53,48,0
50,47,53,46,0
60,40,30,38,0
44,48,47,46,0
64,50,58,52,0
72,47,49,49,0
46,43,35,51,0
45,51,49,43,1
64,54,67,61,0
65,39,62,38,1
44,64,49,54,0
45,49,59,61,0
47,50,46,54,0
36,57,32,47,0
40,52,40,44,0
39,59,65,60,0
42,52,47,35,0
49,43,47,40,0
52,53,47,46,0
65,38,69,62,0
40,51,66,53,0
59,49,72,40,0
47,47,48,46,1
49,48,52,43,0
56,31,34,42,0
38,44,64,59,0
53,50,38,36,0
51,51,52,66,1
54,39,39,58,0
52,62,44,60,0
74,41,41,45,0
43,59,43,48,0
44,54,44,35,1
43,43,44,44,0
44,67,58,54,0
43,38,38,62,0
61,59,52,38,0
64,60,62,46,0
44,43,44,48,0
41,63,42,36,0
54,47,47,55,0
44,52,61,42,0
56,52,51,48,0
52,48,44,45,0
34,58,54,42,1
65,57,38,49,0
67,32,56,47,0
43,63,54,46,0
46,33,46,42,0
52,60,41,53,0
53,61,41,66,0
56,39,55,51,0
70,45,62,59,0
48,38,43,36,0
42,47,54,51,0
36,46,29,39,1
42,57,44,35,0
49,63,49,42,0
67,63,40,61,0
44,44,40,59,0
52,47,43,52,0
49,33,52,34,0
61,41,48,48,0
75,59,27,53,0
44,66,28,51,0
45,37,43,31,0
60,44,54,41,0
56,49,22,49,0
68,52,45,55,0
55,41,44,28,0
46,54,63,48,0
55,45,46,51,0
61,49,53,58,1
58,55,51,56,0
55,50,28,55,0
60,45,57,42,0
61,48,52,30,0
63,49,55,46,1
56,46,89,60,0
48,47,29,63,1
51,65,67,57,0
62,55,47,54,0
41,47,52,53,0
53,56,49,44,0
46,46,45,48,0
50,61,44,66,0
62,53,53,40,1
51,48,34,66,0
50,54,57,46,0
36,34,45,63,0
57,38,38,35,0
56,38,45,55,0
71,51,62,42,0
46,67,44,35,1
52,72,53,52,0
52,56,42,60,0
65,55,57,41,0
49,31,56,35,0
52,44,68,49,1
56,42,48,49,0
51,43,56,55,0
45,48,50,59,0
51,45,62,49,0
60,30,42,68,0
39,57,57,52,0
51,39,48,46,0
42,52,49,33,0
61,70,50,47,0
34,40,52,46,0
44,24,48,59,0
53,47,52,54,0
65,61,65,38,0
49,69,59,51,0
44,37,58,56,0
68,54,45,65,0
35,45,41,58,0
28,48,59,57,1
54,76,58,50,0
44,34,64,53,0
39,52,43,62,0
57,54,47,36,0
52,60,33,46,0
44,50,46,42,0
37,53,59,53,1
58,46,45,62,0
56,52,56,44,0
49,46,48,26,0
68,56,53,45,0
39,46,38,59,0
34,53,50,55,0
43,49,20,54,0
49,61,48,47,0
52,49,33,37,0
47,32,62,55,0
53,62,57,41,0
37,40,54,71,0
64,43,65,55,0
49,44,40,44,0
61,63,67,43,0
53,28,59,49,0
54,81,47,47,0
55,60,61,61,0
54,52,38,51,0
56,49,41,42,0
63,52,43,68,0
51,55,44,50,0
57,56,39,57,0
49,55,62,43,0
64,50,47,53,0
43,48,53,53,0
68,48,44,31,0
49,48,31,70,0
35,61,52,62,0
51,55,30,46,0
43,20,49,38,0
58,56,36,53,0
43,51,69,50,0
45,49,59,53,0
31,46,51,51,0
45,61,62,55,0
25,59,41,64,1
34,42,55,55,0
57,54,51,39,1
57,40,52,63,0
54,36,62,66,0
40,43,57,81,0
49,58,52,38,0
49,59,33,52,0
38,55,40,29,0
65,57,48,55,0
58,55,50,44,0
47,43,38,69,0
50,54,74,42,0
52,58,65,33,0
29,57,56,45,0
47,61,50,30,0
43,57,47,57,0
39,53,40,29,0
47,60,50,50,0
67,49,52,29,0
56,41,37,46,0
44,48,53,66,1
55,42,48,53,0
